index,source_id,page_number,pos_on_page,exact_url,article_hash_url,opinion_section
8,7,6,8,http://www.business-standard.com/article/markets/tomato-prices-to-cool-soon-centre-115111800038_1.html,bcbb59ab304ed0aa149fc2f12c7362ed,no
9,7,6,9,http://www.business-standard.com/article/markets/fresh-arrivals-cause-further-fall-in-onion-price-116040500358_1.html,42155820363c4c31b6e93b634deaeb40,no
10,7,6,10,http://www.business-standard.com/article/economy-policy/farmers-protest-onion-under-essential-commodities-delisting-from-apmcs-114082300501_1.html,ce0498df4d4620fecd283e831bac89fe,no
11,7,10,1,http://www.business-standard.com/article/pti-stories/farmers-traders-unhappy-with-onions-inclusion-in-ec-act-114082600209_1.html,c8a9b1823aa7521691239b0055b54d1a,no
12,7,10,2,http://www.business-standard.com/article/current-affairs/india-imports-18-000-tonne-of-onions-from-egypt-115100300304_1.html,ea972f767c1ab208d5ff8acdda6b9697,no
13,7,10,3,http://www.business-standard.com/article/markets/onion-prices-fall-on-high-arrivals-low-demand-113021900800_1.html,d2119e42fffde93b94814970d4b1fa43,no
14,7,10,4,http://www.business-standard.com/article/markets/onion-hits-the-bottom-on-subdued-demand-114092600854_1.html,1a6f1ded0c80c085d9857948e10cc5f5,no
15,7,10,5,http://www.business-standard.com/article/economy-policy/price-stabilization-fund-in-agriculture-to-be-used-for-cereals-and-vegetables-114071701051_1.html,c073a6428bd3eaaf65aecf7bde4955ab,no
16,7,10,6,http://www.business-standard.com/article/economy-policy/modi-govt-takes-a-leaf-out-of-vajpayee-s-to-tackle-onion-prices-114072100038_1.html,f0875dc07361c14398d67437eba645d3,no
17,7,10,7,http://www.business-standard.com/article/markets/vegetable-prices-up-on-lower-supply-115080301070_1.html,958d22b0cb8fe6ae3329fcae6fb5baf9,no
18,7,10,8,http://www.business-standard.com/article/markets/onion-potato-prices-fall-on-higher-supplies-113030500623_1.html,3a46cbcdc2019720871c32b080066ef0,no
19,7,10,9,http://www.business-standard.com/article/government-press-release/setting-up-of-price-stabilization-fund-115050800599_1.html,f35626baa621dec5adea2184f4c5386c,no
20,7,10,10,http://www.business-standard.com/article/markets/onion-dehydration-industry-stares-at-reduction-in-season-by-two-months-114111301273_1.html,24c3b23f5f5f68c2a9caa2437c813a10,no
21,7,1,1,http://www.business-standard.com/article/markets/onion-price-spirals-again-on-short-supply-115082100884_1.html,f056fa24cc37377237afcebecd80f63a,no
22,7,1,2,http://www.business-standard.com/article/markets/onion-prices-crashed-to-as-low-as-rs-15-kg-113102300867_1.html,b41521c86c56d5f0d597f5f8a0c78919,no
23,7,1,3,http://www.business-standard.com/article/economy-policy/onion-prices-up-on-minimum-export-price-exemption-115122600464_1.html,f6e56409745116748b064f0cff40e69a,no
24,7,1,4,http://www.business-standard.com/article/current-affairs/onion-price-soars-to-rs-80-kg-despite-normal-supply-113081400545_1.html,6260315baf6123b03bb68b3195f83a6c,no
25,7,1,5,http://www.business-standard.com/article/markets/onion-prices-rise-despite-arrival-of-imported-stock-113091600861_1.html,c627d3627aea0ad63f3fd4768e42c58b,no
26,7,1,6,http://www.business-standard.com/article/economy-policy/govt-moves-to-rein-in-onion-potato-prices-114070300114_1.html,8cba23e99d0989b784bb0437a8389648,no
27,7,1,7,http://www.business-standard.com/article/current-affairs/soaring-onion-prices-leave-buyers-in-tears-115080200475_1.html,a90b14b661b2ae75c98ea5cb1c148231,no
28,7,1,8,http://www.business-standard.com/article/pti-stories/govt-mulls-importing-onions-to-control-price-rise-115062800146_1.html,458b7561188fc5674fc7864aa302fb88,no
29,7,1,9,http://www.business-standard.com/article/markets/onion-prices-drop-on-higher-arrivals-weak-demand-113121701005_1.html,576e34f2ab6fb441d75ef38d28f1c9d1,no
30,7,1,10,http://www.business-standard.com/article/markets/wholesale-onion-prices-fall-to-rs-45-kg-in-lasalgaon-115083100527_1.html,023852f438ffc2eb7936a5fba240f9cc,no
31,7,5,1,http://www.business-standard.com/article/markets/onion-price-may-escalate-further-in-coming-days-114062301190_1.html,d3e25ad9c275bde236f72b2a0feb9e15,no
32,7,5,2,http://www.business-standard.com/article/markets/the-onion-conundrum-113093000157_1.html,bf66be6c8b57080bf872db6df17a1005,no
33,7,5,3,http://www.business-standard.com/article/economy-policy/draft-guidelines-issued-for-onion-potato-price-stabilisation-fund-115012801529_1.html,4146f2beda44826a5d4744c3b7d8edf1,no
34,7,5,4,http://www.business-standard.com/article/economy-policy/wholesale-onion-prices-slide-20-in-lasalgaon-manmad-110122400137_1.html,3328a2ae3ea3f974c19193b6329d7086,no
35,7,5,5,http://www.business-standard.com/article/markets/onion-potato-prices-surge-this-week-114070901239_1.html,c79e4dcfca4b04d513201f9e994d8880,no
36,7,5,6,http://www.business-standard.com/article/markets/farmers-to-dump-onions-if-prices-fall-further-114021000804_1.html,b4c60b8aac83e13b799f3ff6ab784905,no
37,7,5,7,http://www.business-standard.com/article/current-affairs/imported-onion-from-egypt-hits-indian-ports-prices-to-cool-113091500607_1.html,0fb9640030794c32fcaa5d7b493d0769,no
38,7,5,8,http://www.business-standard.com/article/markets/day-after-mep-rise-onion-prices-show-mixed-trend-113110500847_1.html,a2c26edb2701d46f8726ee3d444837fe,no
39,7,5,9,http://www.business-standard.com/article/markets/onion-spot-prices-soar-31-in-2-days-likely-to-stay-high-114051200815_1.html,92b9e6fd1701f72242297b0a6f33147c,no
40,7,5,10,http://www.business-standard.com/article/current-affairs/odisha-to-launch-onion-mission-115080301576_1.html,08bef7387e23eea69a7868c39f897f27,no
41,7,2,1,http://www.business-standard.com/article/pti-stories/onion-prices-rise-to-rs-40-kg-govt-to-import-10-000-tonnes-115072700812_1.html,4f9598ee76e7525d1b8e1d5eb259bcd6,no
42,7,2,2,http://www.business-standard.com/article/markets/wholesale-prices-of-onion-slid-in-nashik-delhi-110122400175_1.html,38289178ced283eeb1761f9534d49d8a,no
43,7,2,3,http://www.business-standard.com/article/markets/wholesale-onion-prices-drop-25-in-a-week-at-nashik-115101500830_1.html,5b892a46b40759623f0cf34f764922d7,no
44,7,2,4,http://www.business-standard.com/article/current-affairs/tamil-nadu-sells-onion-at-rs-55-a-kg-through-fair-price-shops-115090200450_1.html,6b27c4b6f74a976e55cb6088cda8d1df,no
45,7,2,5,http://www.business-standard.com/article/pti-stories/sfac-more-than-doubles-onion-supplies-in-delhi-to-check-price-115080601332_1.html,f3ec62c1a0ce77e054efbbfc4a971086,no
46,7,2,6,http://www.business-standard.com/article/economy-policy/niti-aayog-to-identify-triggers-for-high-onion-prices-115100701548_1.html,33a7db0181355f8189f4f839dfc927bf,no
47,7,2,7,http://www.business-standard.com/article/current-affairs/onion-prices-touches-rs-9-kg-in-lasalgaon-113121901068_1.html,f26f9671bb3013e8f8874a23526f510f,no
48,7,2,8,http://www.business-standard.com/article/pti-stories/onion-prices-remain-high-in-nashik-115072900743_1.html,2d6ed3a7e742b7676d4a0e29f21a03dd,no
49,7,2,9,http://www.business-standard.com/article/economy-policy/wholesale-price-deflation-for-11th-straight-month-in-september-115101400370_1.html,3909c5a6e7b4963a41b7fb14a269e12f,no
50,7,2,10,http://www.business-standard.com/article/markets/farmers-in-distress-as-onion-prices-touch-2-year-low-116020800619_1.html,d5e3ee4c4e379c2d811dfd6b7de26c66,no
51,7,3,1,http://www.business-standard.com/article/markets/onion-prices-may-fall-20-in-two-weeks-115092200804_1.html,ee0b56a4ea300cfd146ddda27e547891,no
52,7,3,2,http://www.business-standard.com/article/markets/onion-prices-may-rise-by-10-15-assocham-115071400883_1.html,acc5b5f96d97f901356fbd7f0184b61a,no
53,7,3,3,http://www.business-standard.com/article/markets/onion-prices-calm-but-turmoil-not-ruled-out-later-114081200651_1.html,8f7db873b89f7002ad02a8062415bd60,no
